Time,RegionName,NumValue
2011-09,Cyprus,0
2011-10,Cyprus,0
2011-11,Cyprus,0
2011-12,Cyprus,0
2012-01,Cyprus,0
2012-02,Cyprus,1
2012-03,Cyprus,0
2012-04,Cyprus,0
2012-05,Cyprus,0
2012-06,Cyprus,0
2012-07,Cyprus,1
2012-08,Cyprus,4
2012-09,Cyprus,0
2012-10,Cyprus,0
2012-11,Cyprus,0
2012-12,Cyprus,0
2013-01,Cyprus,0
2013-02,Cyprus,0
2013-03,Cyprus,0
2013-04,Cyprus,0
2013-05,Cyprus,0
2013-06,Cyprus,1
2013-07,Cyprus,0
2013-08,Cyprus,1
2013-09,Cyprus,0
2013-10,Cyprus,0
2013-11,Cyprus,0
2013-12,Cyprus,0
2014-01,Cyprus,2
2014-02,Cyprus,0
2014-03,Cyprus,0
2014-04,Cyprus,0
2014-05,Cyprus,1
2014-06,Cyprus,0
2014-07,Cyprus,0
2014-08,Cyprus,0
2014-09,Cyprus,1
2014-10,Cyprus,0
2014-11,Cyprus,0
2014-12,Cyprus,0
2015-01,Cyprus,0
2015-02,Cyprus,0
2015-03,Cyprus,1
2015-04,Cyprus,0
2015-05,Cyprus,0
2015-06,Cyprus,1
2015-07,Cyprus,0
2015-08,Cyprus,0
2015-09,Cyprus,0
2015-10,Cyprus,1
2015-11,Cyprus,1
2015-12,Cyprus,0
2016-01,Cyprus,2
2016-02,Cyprus,2
2016-03,Cyprus,0
2016-04,Cyprus,2
2016-05,Cyprus,0
2016-06,Cyprus,0
2016-07,Cyprus,0
2016-08,Cyprus,0
2016-09,Cyprus,0
2016-10,Cyprus,0
2016-11,Cyprus,0
2016-12,Cyprus,0
2017-01,Cyprus,1
2017-02,Cyprus,0
2017-03,Cyprus,1
2017-04,Cyprus,1
2017-05,Cyprus,0
2017-06,Cyprus,0
2017-07,Cyprus,0
2017-08,Cyprus,0
2017-09,Cyprus,0
2017-10,Cyprus,0
2017-11,Cyprus,0
2017-12,Cyprus,1
2018-01,Cyprus,0
2018-02,Cyprus,1
2018-03,Cyprus,0
2018-04,Cyprus,0
2018-05,Cyprus,0
2018-06,Cyprus,0
2018-07,Cyprus,0
2018-08,Cyprus,0
2018-09,Cyprus,0
2018-10,Cyprus,0
2018-11,Cyprus,0
2018-12,Cyprus,0
2019-01,Cyprus,1
2019-02,Cyprus,0
2019-03,Cyprus,0
2019-04,Cyprus,0
2019-05,Cyprus,0
2019-06,Cyprus,1
2019-07,Cyprus,0
2019-08,Cyprus,0
2019-09,Cyprus,0
2019-10,Cyprus,0
2019-11,Cyprus,0
2019-12,Cyprus,0
1999-01,Czechia,5
1999-02,Czechia,8
1999-03,Czechia,11
1999-04,Czechia,9
1999-05,Czechia,14
1999-06,Czechia,10
1999-07,Czechia,4
1999-08,Czechia,6
1999-09,Czechia,3
1999-10,Czechia,8
1999-11,Czechia,3
1999-12,Czechia,13
2000-01,Czechia,6
2000-02,Czechia,3
2000-03,Czechia,5
2000-04,Czechia,5
2000-05,Czechia,2
2000-06,Czechia,7
2000-07,Czechia,6
2000-08,Czechia,3
2000-09,Czechia,4
2000-10,Czechia,7
2000-11,Czechia,2
2000-12,Czechia,10
2001-01,Czechia,6
2001-02,Czechia,9
2001-03,Czechia,11
2001-04,Czechia,9
2001-05,Czechia,10
2001-06,Czechia,5
2001-07,Czechia,7
2001-08,Czechia,3
2001-09,Czechia,8
2001-10,Czechia,11
